n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,dataset,method,params,runtime_s,inertia
3,0.0,0.6537753862841931,0.6209533965615104,96835.7286968853,,,Earthquakes,KMeans,"{""k"": 3}",0.04320345099995393,519625840524.0614
3,0.0,0.6496516704822023,0.6315450598211331,96854.25174118523,,,Earthquakes,KMeans++,"{""k"": 3}",0.0375376879999294,519521210737.3519
48,0.29288399111566715,0.4013826838196474,0.4263886908338718,134038.91311806138,,,Earthquakes,DBSCAN,"{""eps"": 123.27849470598646, ""min_samples"": 32}",0.12024488800000199,
13,0.3193661370237485,0.6983531036748776,0.3410822801553991,123747.81058705499,,,Earthquakes,HDBSCAN,"{""min_cluster_size"": 250}",3.3307193099999495,
6,0.0,0.4872550156619851,0.6335807808902736,5899.0665488468885,,,UberNYC,KMeans,"{""k"": 6}",0.02528267400009554,27499.801897944646
6,0.0,0.48747711958184053,0.6373749909539804,5899.5137971417125,,,UberNYC,KMeans++,"{""k"": 6}",0.02628154799992899,27498.09067627328
3,0.007333333333333333,0.6870376747172149,0.3256545733382828,1579.877358460348,,,UberNYC,DBSCAN,"{""eps"": 2.069887193577065, ""min_samples"": 8}",0.15928762600003665,
3,0.050666666666666665,0.6269465429499167,0.2844409300205368,3116.7625209503067,,,UberNYC,HDBSCAN,"{""min_cluster_size"": 100}",0.23186996300000828,
7,0.0,0.24846803778990245,1.1227763911854987,154.21493982567708,0.49254560468857617,0.6074438600798284,Ecoli,KMeans,"{""k"": 7}",0.007769547000066268,616.9292768998113
7,0.0,0.3542924441960294,0.8609716376580054,167.54908468584478,0.7310998894515813,0.6793872050753306,Ecoli,KMeans++,"{""k"": 7}",0.00938452299999426,579.9379336995092
2,0.2113095238095238,0.43439022483101963,0.9082803556623289,220.39699709855626,0.48871452241503294,0.48807371595965887,Ecoli,DBSCAN,"{""eps"": 0.9652759723805757, ""min_samples"": 8}",0.003158382999913556,
2,0.37202380952380953,0.48274823708177567,0.7894353382394429,210.7435521188344,0.3389361671772482,0.3763418425871164,Ecoli,HDBSCAN,"{""min_cluster_size"": 12}",0.0038226380000878635,
