n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,dataset,method,params,runtime_s,inertia,n_iter
2,0.0,0.7303302862385125,0.399075249138653,116461.20177274918,,,Earthquakes,KMeans++,"{""k"": 2}",0.038916571999948246,806469529501.9087,3.0
3,0.0,0.6496516704822023,0.6315450598211331,96854.25174118523,,,Earthquakes,KMeans++,"{""k"": 3}",0.041916818999993666,519521210737.3519,7.0
4,0.0,0.5130917445613634,0.7721528417030369,92465.88581914475,,,Earthquakes,KMeans++,"{""k"": 4}",0.04541956900004607,374967241567.64496,3.0
5,0.0,0.4810556372139721,0.7298834487855086,87610.50760441709,,,Earthquakes,KMeans++,"{""k"": 5}",0.04722712499994941,301693753243.26587,5.0
6,0.0,0.49368311276609966,0.6658734408233843,88729.000202461,,,Earthquakes,KMeans++,"{""k"": 6}",0.05768041900000753,241478520960.85013,10.0
7,0.0,0.5389910013077902,0.6348412224315282,93988.95880183372,,,Earthquakes,KMeans++,"{""k"": 7}",0.0612659309999799,192014862085.5741,6.0
8,0.0,0.551168380921375,0.6337817450210665,106368.17463202245,,,Earthquakes,KMeans++,"{""k"": 8}",0.07611953999992238,146843912503.04443,6.0
9,0.0,0.5488116128905546,0.660284657911138,107662.27307591506,,,Earthquakes,KMeans++,"{""k"": 9}",0.10109509300002628,127464953976.11449,9.0
10,0.0,0.5383547348961508,0.6728785651797641,109186.31922531415,,,Earthquakes,KMeans++,"{""k"": 10}",0.09438468199994077,112097782710.46446,7.0
11,0.0,0.54154409544009,0.6553219409554061,112043.87096587347,,,Earthquakes,KMeans++,"{""k"": 11}",0.1089768130000266,98580717623.52173,9.0
12,0.0,0.5587619481482564,0.6152697009557478,111434.44971270624,,,Earthquakes,KMeans++,"{""k"": 12}",0.13107247799996458,90263160068.0972,21.0
13,0.0,0.5536045822412297,0.6471592299189808,114612.9054449307,,,Earthquakes,KMeans++,"{""k"": 13}",0.13627574199995252,80608337975.61345,9.0
14,0.0,0.5676570542242408,0.6279643502824436,123468.44634009514,,,Earthquakes,KMeans++,"{""k"": 14}",0.14805313800002295,69233536714.39076,5.0
15,0.0,0.5659743365709855,0.6254228876921331,123896.15200259066,,,Earthquakes,KMeans++,"{""k"": 15}",0.12807263000001967,64131735478.49621,8.0
16,0.0,0.5504912816918813,0.6248791211400231,129721.77860301515,,,Earthquakes,KMeans++,"{""k"": 16}",0.15178501999992022,57252994339.83395,14.0
17,0.0,0.547753927685823,0.6189820275927645,133257.69156246525,,,Earthquakes,KMeans++,"{""k"": 17}",0.15267666500005816,52300802113.34312,15.0
18,0.0,0.553207354251257,0.599869484171164,139657.65373724984,,,Earthquakes,KMeans++,"{""k"": 18}",0.15238649900004475,47020097201.13313,11.0
19,0.0,0.5656598351075106,0.5869222659585529,141516.76281001378,,,Earthquakes,KMeans++,"{""k"": 19}",0.16053961900001923,43851086685.81552,18.0
20,0.0,0.5652303740093173,0.6139522773970877,143277.24087709808,,,Earthquakes,KMeans++,"{""k"": 20}",0.18590574799998194,41052480347.68022,17.0
21,0.0,0.5685606275663225,0.6235027409157617,144550.9555911704,,,Earthquakes,KMeans++,"{""k"": 21}",0.1989467529999729,38675541518.73977,19.0
22,0.0,0.5653000866859232,0.6186213581078114,145369.22493410666,,,Earthquakes,KMeans++,"{""k"": 22}",0.19485504499994022,36641369645.64737,9.0
23,0.0,0.5664128504768844,0.6483889188895171,148077.88936108883,,,Earthquakes,KMeans++,"{""k"": 23}",0.22103257800006304,34348438003.857975,14.0
24,0.0,0.5544802253209977,0.6402635374537524,147026.72596307448,,,Earthquakes,KMeans++,"{""k"": 24}",0.26825683200002004,33097907062.153767,16.0
25,0.0,0.5499606799284258,0.6735870634262833,150926.26969121388,,,Earthquakes,KMeans++,"{""k"": 25}",0.25798720600005254,30911560603.75554,14.0
2,0.0,0.722461629188931,0.5267220634477133,3262.2403069857323,,,UberNYC,KMeans++,"{""k"": 2}",0.015443331000028593,105461.70906868206,6.0
3,0.0,0.44139396603883185,0.688774115817227,4811.62437866026,,,UberNYC,KMeans++,"{""k"": 3}",0.016914811999981794,62511.13201450916,6.0
4,0.0,0.4385117706668338,0.6962357545807205,4961.809805007779,,,UberNYC,KMeans++,"{""k"": 4}",0.0167491780000546,46753.364235571586,8.0
5,0.0,0.4758883964929004,0.7095464112583507,5833.111628711361,,,UberNYC,KMeans++,"{""k"": 5}",0.020446190000029674,33283.303019851744,16.0
6,0.0,0.48747711958184053,0.6373749909539804,5899.5137971417125,,,UberNYC,KMeans++,"{""k"": 6}",0.025312958999961666,27498.09067627328,17.0
