ablation,dataset,method,k,inertia_mean,inertia_std,inertia_min,inertia_cv_pct,iter_mean,iter_std,runtime_mean_s,variant,eps,min_samples,runtime_s,n_clusters,noise_frac,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,dims,eps_knee,eps_best,viable_eps_frac,dbscan_ari,dbscan_noise,dbscan_clusters,kmeans_ari
init,Earthquakes,KMeans,3.0,608732904296.4099,67121895554.3871,519521210737.3519,11.026493734878422,9.633333333333333,4.1511711868124905,0.007336507166682319,,,,,,,,,,,,,,,,,,,
init,Earthquakes,KMeans++,3.0,557352652364.8679,50626079169.520935,519520855452.02966,9.083311787377815,7.2,3.0044411571316663,0.007972782566673687,,,,,,,,,,,,,,,,,,,
init,UberNYC,KMeans,6.0,28249.58625284453,677.9935500304063,27498.045092618657,2.400012318630462,17.833333333333332,3.615552823873857,0.004024393266661264,,,,,,,,,,,,,,,,,,,
init,UberNYC,KMeans++,6.0,28280.723367037124,640.4558393823096,27498.09067627328,2.26463740361323,11.5,4.318564576337836,0.004107233300002614,,,,,,,,,,,,,,,,,,,
init,Ecoli,KMeans,7.0,844.9744242771742,70.67321011591575,580.0062224426485,8.36394665748286,17.7,9.34933152690608,0.0015462860666616506,,,,,,,,,,,,,,,,,,,
init,Ecoli,KMeans++,7.0,631.7314810119909,81.74087191284806,579.9438462529299,12.93917975749835,11.0,4.993328882953068,0.0018037062333178255,,,,,,,,,,,,,,,,,,,
metric,Earthquakes,,,,,,,,,,haversine,123.27849470598646,32.0,0.3957771519999369,48.0,0.26358277806253205,0.26497483096692875,1.532212174589312,2011.7227421120754,,,,,,,,,,
metric,Earthquakes,,,,,,,,,,euclidean_deg,1.1074244943045857,32.0,0.12853747300005125,48.0,0.29339654877840426,0.41074099677829606,0.4256178885353547,133796.8808934894,,,,,,,,,,
metric,Earthquakes,,,,,,,,,,euclidean_km,123.27849470598646,32.0,0.1431247570000096,48.0,0.29288399111566715,0.4013826838196474,0.4263886908338718,134038.91311806138,,,,,,,,,,
metric,UberNYC,,,,,,,,,,haversine,2.069887193577065,8.0,0.3147637650000661,3.0,0.007333333333333333,0.6870376747172149,0.3256545733382828,1579.877358460348,,,,,,,,,,
metric,UberNYC,,,,,,,,,,euclidean_deg,0.018594027969610717,8.0,0.15359941700000945,6.0,0.009,0.5986274651529139,0.5134147936891015,763.7969051294999,,,,,,,,,,
metric,UberNYC,,,,,,,,,,euclidean_km,2.069887193577065,8.0,0.18076693300008628,3.0,0.007333333333333333,0.6870376747172149,0.3256545733382828,1579.877358460348,,,,,,,,,,
scaling,Ecoli,KMeans++,,,,,,,,,raw,,,,7.0,0.0,0.25988101149084286,1.2789560735194587,157.38298259446762,0.49665991327435616,0.6341029479249561,,,,,,,,
scaling,Ecoli,DBSCAN,,,,,,,,,raw,0.16425325563206133,,,2.0,0.15178571428571427,0.46860121675908806,0.8294098712828151,288.7899435492224,0.4811324159739688,0.48116088464148205,,,,,,,,
scaling,Ecoli,KMeans++,,,,,,,,,standardised,,,,7.0,0.0,0.3542924441960294,0.8609716376580054,167.54908468584478,0.7310998894515813,0.6793872050753306,,,,,,,,
scaling,Ecoli,DBSCAN,,,,,,,,,standardised,0.8265868958891138,,,3.0,0.23511904761904762,0.3633352390117893,0.8548856831347916,126.94611042147098,0.455013099562257,0.4595025666769155,,,,,,,,
dimensionality,Ecoli,,,,,,,,,,2D,,,,,,,,,,,2.0,0.5774697721720103,0.29669998639182604,0.125,0.5753053961153327,0.19047619047619047,3.0,0.46771351246967224
dimensionality,Ecoli,,,,,,,,,,3D,,,,,,,,,,,3.0,0.7181167452027585,0.3689634311559,0.675,0.6183394760369607,0.15178571428571427,4.0,0.4661967889007318
dimensionality,Ecoli,,,,,,,,,,4D,,,,,,,,,,,4.0,1.2455806451431557,0.5368882091134292,0.575,0.4533623991458368,0.2916666666666667,4.0,0.5119946014890562
dimensionality,Ecoli,,,,,,,,,,5D,,,,,,,,,,,5.0,1.6522752743572469,0.5754475955520066,0.675,0.39902812695204637,0.2648809523809524,3.0,0.5195964965623427
dimensionality,Ecoli,,,,,,,,,,7D,,,,,,,,,,,7.0,1.6087932873009596,0.8265868958891138,0.65,0.455013099562257,0.23511904761904762,3.0,0.7310998894515813
